counts_profileVisits,counts_kisses,counts_fans,counts_g
5.908082938168931,1.6094379124341003,0.0,0.0
6.917705609835305,3.044522437723423,0.0,0.0
7.620214770574455,4.0943445622221,0.0,0.0
7.780720886117918,4.976733742420574,0.6931471805599453,0.0
6.76849321164863,2.995732273553991,0.0,0.0
5.703782474656201,1.3862943611198906,0.0,0.0
5.883322388488279,1.791759469228055,0.0,0.0
5.932245187448011,1.0986122886681098,0.0,0.0
5.8971538676367405,2.0794415416798357,0.0,0.0
5.5254529391317835,1.3862943611198906,0.0,0.0
5.293304824724492,1.3862943611198906,0.0,0.0
5.631211781821365,1.3862943611198906,0.0,0.0
6.648984550024776,2.8903717578961645,0.0,0.0
4.624972813284271,0.6931471805599453,0.0,0.0
7.122866658599083,4.30406509320417,0.0,0.0
4.927253685157205,0.6931471805599453,0.0,0.0
6.214608098422191,2.0794415416798357,0.0,0.0
3.1354942159291497,0.6931471805599453,0.0,0.0
5.66988092298052,2.3978952727983707,0.0,0.0
5.198497031265826,0.6931471805599453,0.0,0.0
5.950642552587727,1.3862943611198906,0.0,0.0
5.877735781779639,1.6094379124341003,0.0,0.0
6.0063531596017325,1.6094379124341003,0.0,0.0
5.631211781821365,0.0,1.0986122886681098,0.0
6.171700597410915,1.9459101490553132,0.0,0.0
9.950705052145238,6.682108597449809,3.091042453358316,0.0
6.546785410760524,3.1354942159291497,0.0,0.0
5.823045895483019,1.0986122886681098,0.0,0.0
6.20455776256869,1.6094379124341003,0.0,0.0
5.87493073085203,3.332204510175204,1.3862943611198906,0.0
5.25227342804663,2.0794415416798357,0.0,0.0
8.814479000010714,5.697093486505405,1.0986122886681098,0.6931471805599453
6.385194398997726,1.6094379124341003,0.0,0.0
4.787491742782046,0.0,0.0,0.0
8.814181823188319,5.971261839790462,0.0,0.0
3.4011973816621555,0.0,0.0,0.0
7.687080155783135,5.204006687076795,0.0,0.0
5.749392985908253,0.0,0.0,0.0
7.322510433997394,2.0794415416798357,1.3862943611198906,0.0
1.3862943611198906,0.0,0.0,0.0
4.31748811353631,0.0,0.0,0.0
7.692113339595466,4.653960350157523,0.0,0.0
4.795790545596741,0.0,0.0,0.0
5.278114659230517,1.9459101490553132,0.0,0.0
6.752270376141742,2.5649493574615367,0.0,0.0
3.4657359027997265,0.0,0.0,0.0
6.530877627725885,2.772588722239781,0.0,0.0
4.5217885770490405,0.0,0.0,0.0
6.056784013228625,1.791759469228055,0.0,0.0
6.48768401848461,2.9444389791664403,0.0,0.0
6.851184927493743,3.1354942159291497,0.0,0.0
4.634728988229636,0.6931471805599453,0.0,0.0
5.634789603169249,2.1972245773362196,0.0,0.0
7.126087273299125,3.091042453358316,0.0,0.0
8.371936178759098,4.6913478822291435,0.0,0.0
5.755742213586912,1.3862943611198906,0.0,0.0
6.580639137284949,2.0794415416798357,0.0,0.0
6.85751406254539,2.70805020110221,0.6931471805599453,0.0
10.25040504701888,6.93537044601511,1.0986122886681098,0.0
6.62273632394984,4.110873864173311,0.0,0.0
5.4680601411351315,1.791759469228055,0.0,0.0
4.663439094112067,1.0986122886681098,0.0,0.0
7.193685818395112,0.0,0.0,0.0
4.875197323201151,0.6931471805599453,0.0,0.0
5.594711379601839,1.9459101490553132,0.0,0.0
6.061456918928017,1.0986122886681098,0.0,0.0
7.6255950721324535,4.330733340286331,0.0,0.0
4.663439094112067,1.0986122886681098,0.0,0.0
6.220590170099739,2.3978952727983707,0.0,0.0
6.037870919922137,1.3862943611198906,0.0,0.0
6.508769136971682,2.6390573296152584,0.0,0.0
5.407171771460119,0.0,0.0,0.0
4.007333185232471,0.0,0.0,0.0
4.948759890378168,0.0,0.0,0.0
5.905361848054571,2.1972245773362196,0.0,0.0
5.991464547107982,1.3862943611198906,0.0,0.0
8.136810863675537,5.3981627015177525,0.0,0.0
6.175867270105761,2.0794415416798357,0.0,0.0
5.929589143389895,1.6094379124341003,0.0,0.0
6.478509642208569,2.302585092994046,0.0,0.0
7.848153086199526,5.455321115357702,0.6931471805599453,0.0
5.905361848054571,2.4849066497880004,0.0,0.0
5.267858159063328,1.0986122886681098,0.0,0.0
5.755742213586912,0.0,0.0,0.0
