age,is_EU,counts_pictures,counts_details,whazzup_len,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,lang_count,lang_fr,lang_en,lang_de,lang_it,lang_es,lang_pt,isVip,isHighlighted,isFlirtstar,isNew,isMobile,isOnline,isInfluencer
-1.0164590669540479,1,1.8583742005601267,-1.7465185897409023,-0.764557161054038,0,0,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,1,0,1,0
-0.5060559732080652,1,0.9533321353367492,0.24719321831675237,1.579969263862105,1,1,1,-0.18839903410123943,0,0,1,0,0,0,0,0,0,0,1,1,0
-1.0164590669540479,1,-0.40423096249831714,0.9526604734756148,2.65614532775804,1,0,1,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,1,1,0
-1.5268621607000308,1,0.7270716190309049,1.3207303457324124,1.195620669613557,0,1,0,-0.18839903410123943,0,0,1,0,0,0,1,0,0,0,1,1,0
-1.5268621607000308,1,0.048290070113371664,0.09383077154308649,-0.764557161054038,1,1,1,-0.18839903410123943,0,0,1,0,0,0,0,0,0,1,1,1,0
1.0251533080298831,1,-0.8567519951100059,-1.1330688026462394,-0.764557161054038,0,0,0,8.397091195717794,1,1,1,0,1,1,0,0,0,1,0,1,0
0.5147502142839003,1,-0.6304914788041616,0.9526604734756148,-0.6876874422043284,0,0,1,-0.18839903410123943,0,0,1,0,0,0,0,0,0,0,1,1,0
1.5355564017758658,1,-0.40423096249831714,0.09383077154308649,-0.764557161054038,0,0,0,-0.18839903410123943,0,0,1,0,0,0,0,0,0,1,1,1,0
1.0251533080298831,1,0.048290070113371664,1.3207303457324124,-0.764557161054038,1,1,1,-0.18839903410123943,1,0,0,0,0,0,0,0,0,1,1,1,0
1.0251533080298831,1,-0.40423096249831714,-1.1330688026462394,-0.764557161054038,1,1,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,1,1,1,0
-0.5060559732080652,1,-0.6304914788041616,-0.09020416458531223,-0.764557161054038,1,0,0,-0.18839903410123943,0,0,1,0,0,0,0,0,0,1,0,1,0
1.0251533080298831,1,-0.8567519951100059,1.0140054521850812,-0.764557161054038,0,0,1,-0.18839903410123943,1,0,0,0,0,0,0,0,0,1,0,1,0
-1.5268621607000308,1,-0.40423096249831714,1.3207303457324124,-0.03429483198179678,1,1,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,1,1,0
0.0043471205379175554,1,-0.6304914788041616,-1.7465185897409023,-0.764557161054038,0,0,0,-0.18839903410123943,0,0,1,0,0,0,0,0,0,1,0,1,0
1.0251533080298831,0,-0.17797044619247274,-1.286431249419905,0.15787946514247725,1,1,1,-0.18839903410123943,0,1,0,0,0,0,0,0,0,0,1,1,0
-1.5268621607000308,1,-0.8567519951100059,0.09383077154308649,-0.764557161054038,0,1,1,-0.18839903410123943,1,0,0,0,0,0,0,0,0,1,1,1,0
-1.0164590669540479,1,-0.6304914788041616,0.09383077154308649,-0.764557161054038,0,1,0,3.2457970578263735,1,1,0,0,0,1,0,0,0,0,1,1,0
-1.5268621607000308,1,-0.8567519951100059,-0.5809639942610427,-0.764557161054038,1,1,0,1.5286990118625672,1,0,0,0,0,0,1,0,0,0,1,1,0
-1.0164590669540479,1,-0.40423096249831714,0.09383077154308649,-0.764557161054038,0,0,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,1,1,1,0
-1.0164590669540479,1,-0.40423096249831714,-1.7465185897409023,-0.764557161054038,0,0,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,1,0,1,0
-1.5268621607000308,1,-0.8567519951100059,0.03248579283362014,-0.764557161054038,1,1,0,1.5286990118625672,1,0,0,0,0,1,0,0,0,1,1,1,0
0.0043471205379175554,1,-0.6304914788041616,-1.7465185897409023,-0.764557161054038,0,0,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,1,1,1,0
0.0043471205379175554,1,-0.40423096249831714,-0.5196190155515764,-0.764557161054038,1,0,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,0,1,0
-1.5268621607000308,1,-0.8567519951100059,-1.6238286323219697,-0.764557161054038,1,0,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,0,1,0
1.0251533080298831,1,-0.40423096249831714,0.09383077154308649,-0.764557161054038,1,0,0,3.2457970578263735,1,0,0,1,0,1,0,0,0,1,1,1,0
-0.5060559732080652,1,1.1795926516425936,-0.21289412200424493,0.7344023565152993,1,0,0,-0.18839903410123943,0,0,1,0,0,0,0,0,0,0,1,1,0
-1.0164590669540479,1,-0.8567519951100059,-0.7956714197441748,-0.764557161054038,1,1,1,-0.18839903410123943,1,0,0,0,0,0,0,0,0,0,1,1,0
-1.0164590669540479,1,-0.17797044619247274,-0.21289412200424493,-0.764557161054038,1,1,0,-0.18839903410123943,1,0,0,0,0,0,0,0,0,1,1,1,0
