popularity_score,PC2,PC3,PC4
-1.279811840055689,0.17450268958256787,0.21778375949023082,-0.4288258293221983
-0.4487410890884661,-0.26346084093276684,0.19228859902413248,-0.22705765666791258
0.147536920587015,-0.5770846665743279,0.17401282804834234,-0.0662177661236605
0.7802131993015754,-0.22245092487789897,-0.40189589700574546,0.2070538805332986
-0.5142094103703362,-0.22702664285988255,0.1943496794371457,-0.19175228943724246
-1.4243615400404201,0.25147465476794256,0.22223987408848678,-0.44283471070315383
-1.2237958635004689,0.14755805835312352,0.21613549560496842,-0.34702836455889635
-1.4514011077086586,0.2584740280536512,0.2228718283273951,-0.6414114512254506
-1.1182739542789992,0.09512235022172734,0.21298480605211995,-0.23737681090578652
-1.4821248706592014,0.284915986663181,0.22409367378152528,-0.3773854023899225
-1.557320761489069,0.3284496734409675,0.2265069369684794,-0.29218396074708347
-1.4478681617064577,0.26508350883589277,0.2229942725548159,-0.4162003024662657
-0.5899253266993366,-0.1863616354860294,0.19669326262020143,-0.1899088992646081
-2.0172544678850097,0.5738691963387005,0.2406993915466587,-0.3233250046024659
0.06009870040078901,-0.520154058736044,0.1769909027748644,0.1999523489955044
-1.9193416353843107,0.5171838304953019,0.23755707310882074,-0.4342660998182681
-1.0154462671251787,0.03559159295246723,0.20968475508830603,-0.3538867303922975
-2.499716581721683,0.8531843864923089,0.2561830575498501,0.2233334255761242
-1.0800411677894006,0.08256856459718477,0.21201885266467413,-0.026964963695488665
-1.8314822741554382,0.4663187915946005,0.2347374009200484,-0.5338160108028395
-1.3444002467178993,0.20518209995633452,0.21967367474664945,-0.5334356383804234
-1.2896416914187827,0.18019355467626463,0.21809922910121604,-0.4176880198218718
-1.24798079606227,0.15607451905720393,0.21676220517624,-0.46489230592491626
-1.5056161355631485,1.3573554054316934,-0.658047171902675,-1.000308354122064
-1.0762444113962375,0.06677263656740952,0.21152648887032244,-0.3913915567949625
3.018774833853864,0.9349838569635734,-2.3969173079406563,0.022532460922077446
-0.5369353776132336,-0.20966503989636429,0.19519359407829578,-0.054645383017092305
-1.486772224369516,0.2789516777855789,0.22400699426235604,-0.6013338605650703
-1.1837796642773615,0.11890610558329286,0.2147017970051625,-0.5376360279928171
-0.14393356366424376,0.9574637185043616,-0.9299129091047522,0.23094618550295648
-1.3271593861402184,0.2160538647331165,0.219688570279639,-0.0006971235405581101
2.4464095370373338,1.3756996255261544,1.2169595336921453,0.04087037953670703
-1.1252690327028945,0.08503213348159445,0.21282401416801833,-0.6039320729835825
-2.2080644003912595,0.6634829970397614,0.24625485161497063,-0.6593993800895224
1.1935028775685157,-1.1261665786153539,0.14198322357571957,0.24409690128313363
-2.6571037548696768,0.9234485136793794,0.26066588035200877,-0.15061093521967686
0.5589388009017545,-0.7818765827775321,0.16171934407692012,0.35177608371241315
-1.8964916742810178,0.4831020039124518,0.23625554205586202,-1.012429913383475
-0.1150472266422341,0.9030513269749242,-0.9318669102497275,-0.7999378839319445
-3.309757893165393,1.301294171430487,0.2816115223063789,0.5888852375535419
-2.3603048856721243,0.7516206536054698,0.25114070847014885,-0.4869018050334262
0.3673779992400851,-0.6875229275432398,0.16741620859749667,0.1305698243870508
-2.205376306748691,0.6619267600516302,0.24616858257341656,-0.6624451509566558
-1.3656888931060034,0.23434276928677267,0.2208156362514948,-0.06343364785772225
-0.6707667901280973,-0.14934975882738516,0.19902094454469377,-0.3575949391323899
-2.6361988614477667,0.91134589647106,0.2599949792008217,-0.17429742975122645
-0.669550325109197,-0.14380724370074216,0.1991521167003938,-0.19353407909839185
-2.294129222819908,0.713309110951646,0.2490169316351239,-0.5618827888937804
-1.1676093145360342,0.11502958376830065,0.21433229959623107,-0.4106910849532448
-0.6231828671076465,-0.16548101622353423,0.19780491906965042,-0.10914740119648715
-0.4383362875996186,-0.26674770563589373,0.1920292515647482,-0.16636404903887017
-2.0140943118441914,0.5720396649410185,0.2405979725973761,-0.3269056504000299
-1.1618886810637208,0.12391600067640797,0.21448108686959538,-0.09411365167758805
-0.3649043858689656,-0.3105974725315927,0.1896361608200176,-0.28498426765178064
0.6007132536527598,-0.8214845566865011,0.1599584241366409,-0.10402400362183616
-1.4075310830446455,0.24173087974120855,0.221699733904771,-0.4619046250790902
-0.8968838996946278,-0.033048553608630675,0.20587973072433335,-0.48822498369560924
-0.31564876886766374,0.34373145873181027,-0.3685861289343452,-0.35887015440075953
2.426491838895551,-0.7104388971251263,-0.7785551256304578,0.07021883775965514
-0.1697542024412126,-0.3928958022451508,0.18420920811206148,0.3064619751217736
-1.3583048802868305,0.225430310958177,0.22045229609687755,-0.1946216037946922
-1.8623844349794982,0.49640750078531143,0.23606152424307525,-0.17574276124514868
-1.428665836301131,0.21226029604239305,0.22124159833841633,-1.5425045676466775
-1.936203389875152,0.5269457248013224,0.23809821772365447,-0.41516072350857397
